1;SKINCARE;Laco DNA Toner;758;100000;Hỗn hợp cân bằng độ ẩm cho làn da;INSTOCK
2;BODYCARE;Laco Body Wash;488;200000;Sữa tắm với hương thơm men rượu Sake;INSTOCK
3;HAIRCARE;Laco Shampoo;1500;150000;Dầu gội phủ bạc Laco;INSTOCK
4;LIPCARE;Laco Lipstick;2000;50000;Son sáp laco giảm khô môi;INSTOCK
5;FUNCTIONALFOODS;Collagen;-600;800000;Giúp xây dựng các khối xương, da, cơ, gân và dây chằng trong cơ thể;INSTOCK
6;SKINCARE;Laco Face Wash;0;300000;Bổ sung DNA cá hồi cùng chiết xuất hoa hồng và lô hội, giúp da sạch sẽ, tươi tắn, ngăn ngừa lão hóa và hồng hào thêm mỗi ngày;OUTOFSTOCK
7;BODYCARE;Laco Skin Exfoliating Scrub;1000;300000;Tẩy Da chết giúp làm sạch da, bã nhờn, lớp biểu bì và tế bào chết trên da;INSTOCK
8;HAIRCARE; Laco Black Hair;1000;300000;Tóc đen ngay sau khi gội, thao tác cực đơn giản dễ dàng;INSTOCK
9;FUNCTIONALFOODS;Collagen 82x;1000;2300000;Công thức thông minh kết hợp hài hòa các thành phần, bổ trợ tác dụng cho nhau 1 cách hoàn hảo;INSTOCK
10;LIPCARE;Vaseline Lipstick;1000;50000;Giúp bảo vệ và giữ ẩm cho đôi môi luôn căng mọng đầy sức quyến rũ;INSTOCK
11;FUNCTIONALFOODS;Weight;0;2000000;Tăng cân cho người gầy;OUTOFSTOCK
